Log file open, 12/14/14 19:31:06
LogInit:Display: Running engine for game: Trial_third_person
LogInit: Version: 4.6.0-2369412+++depot+UE4-Releases+4.6
LogInit: API Version: 2369412
LogInit: Compiled (64-bit): Nov 24 2014 21:54:04
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.6
LogInit: Command line:  /Temp/Autosaves/Game/Maps/UEDPCStartMenuLevel -game -PIEVIACONSOLE -ResX=1280 -ResY=720  -Multiprocess 
LogInit: Base directory: C:/Program Files/Epic Games/4.6/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2014.12.15-03.31.06:164][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.12.15-03.31.06:195][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.12.15-03.31.06:223][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.12.15-03.31.06:237][  0]LogInit: Object subsystem initialized
[2014.12.15-03.31.06:240][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=((Time=480.000000,Value=0.444000),(Time=720.000000,Value=0.666000),(Time=1080.000000,Value=1.000000),(Time=8640.000000,Value=8.000000))),ExternalCurve=None)'
[2014.12.15-03.31.06:240][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/User/Documents/GitHub/Study-Session/Trial_third_person 4.6/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2014.12.15-03.31.06:241][  0]LogConsoleManager:Warning: Console variable 'r.MSAA.CompositingSampleCount' wasn't set (Priority ProjectSetting < Scalability)
[2014.12.15-03.31.06:241][  0]LogInit: Selected Device Profile: [Windows]
[2014.12.15-03.31.06:241][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2014.12.15-03.31.06:251][  0]LogInit: Computer: USER-PC
[2014.12.15-03.31.06:251][  0]LogInit: User: User
[2014.12.15-03.31.06:251][  0]LogInit: CPU Page size=4096, Cores=2
[2014.12.15-03.31.06:251][  0]LogInit: High frequency timer resolution =2.435937 MHz
[2014.12.15-03.31.06:251][  0]LogMemory: Memory total: Physical=7.8GB (8GB approx) Virtual=8192.0GB
[2014.12.15-03.31.06:251][  0]LogMemory: Platform Memory Stats for Windows
[2014.12.15-03.31.06:251][  0]LogMemory: Process Physical Memory: 49.61 MB used, 49.61 MB peak
[2014.12.15-03.31.06:251][  0]LogMemory: Process Virtual Memory: 25.14 MB used, 25.14 MB peak
[2014.12.15-03.31.06:251][  0]LogMemory: Physical Memory: 3564.94 MB used, 7969.14 MB total
[2014.12.15-03.31.06:251][  0]LogMemory: Virtual Memory: 264.19 MB used, 8388608.00 MB total
[2014.12.15-03.31.06:274][  0]LogD3D11RHI: Found D3D11 adapter 0: Intel(R) HD Graphics 3000 (Feature Level 10_0)
[2014.12.15-03.31.06:274][  0]LogD3D11RHI: Adapter has 192MB of dedicated video memory, 0MB of dedicated system memory, and 1568MB of shared system memory, 1 output[s]
[2014.12.15-03.31.06:274][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2014.12.15-03.31.06:279][  0]LogRHI: Texture pool is 683 MB (70% of 976 MB)
[2014.12.15-03.31.06:284][  0]LogD3D11RHI: Async texture creation enabled
[2014.12.15-03.31.06:342][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2014.12.15-03.31.06:550][  0]LogContentStreaming: Texture pool size is 200.000000MB
[2014.12.15-03.31.14:169][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2014.12.15-03.31.14:939][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2014.12.15-03.31.15:005][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2014.12.15-03.31.15:050][  0]LogDerivedDataCache: Loaded boot cache 0.04s 36MB C:/Users/User/AppData/Local/UnrealEngine/4.6/DerivedDataCache/Boot.ddc.
[2014.12.15-03.31.15:050][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/User/AppData/Local/UnrealEngine/4.6/DerivedDataCache/Boot.ddc
[2014.12.15-03.31.15:050][  0]LogDerivedDataCache: FDerivedDataBacken
